chunkID,chunk_name,chunk_Labels,chunk_text
9,8d9140d929ab96f64388c929fa1bc823,['Document']," la ligne continue tout droit pour rejoindre la ligne 14 et la place de Bel-Air. Elles franchissent le Rhône par les Ponts-de-l'Île pour arriver place de Saint-Gervais. La ligne emprunte ensuite les rues de Coutance puis de Cornavin pour arriver place des XXII-Cantons où les voies se séparent pour passer de part et d'autre de la Basilique Notre-Dame avec la ligne 15, puis emprunte le passage de Montbrillant sous le faisceau de la gare de Genève-Cornavin puis la rue de la Pépinière pour rejoindre la rue de la Servette. Cette rue est prolongée par la route de Meyrin qui permet à la ligne de rejoindre Balexert, de longer l'aéroport international de Genève par le sud et d'arriver à Meyrin. Au Jardin Alpin, tandis que la ligne 14 bifurque à droite, la ligne 18 continue tout droit sur la route de Meyrin, qui traverse le village, ensuite longe l'hôpital de La Tour et l'écoquartier des Vergers pour rejoindre son terminus au CERN à seulement quelques centaines de mètres de la frontière avec la France. Liste des stations La liste ci-dessous présente les stations et zones tarifaires selon la situation en vigueur au 10 décembre 2023. Station Coordonnées Zone Communes Correspondances ■ Grand-Lancy, Palettes 46° 10′ 26″ N, 6° 07′ 46″ E 10 Lancy Tramway Bus Grand-Lancy, Pontets 46° 10′ 26″ N, 6° 07′ 24″ E 10 Lancy Bus Plan-les-Ouates, Trèfle-Blanc 46° 10′ 19″ N, 6° 07′ 34″ E 10 Plan-les-Ouates Lancy-Bachet, gare 46° 10′ 26″ N, 6° 07′ 46″ E 10 Lancy CFF Léman Express Tramway Bus"
1698,674f1fdbbf8a443895312a5152e1c6ce,['Document']," 26″ N, 6° 07′ 46″ E 10 Lancy CFF Léman Express Tramway Bus Cars Région Haute-Savoie 272 Grand-Lancy, De-Staël 46° 10′ 34″ N, 6° 07′ 57″ E 10 Lancy Tramway Carouge, Rondeau 46° 10′ 46″ N, 6° 08′ 17″ E 10 Carouge Tramway Bus Carouge, Ancienne 46° 10′ 54″ N, 6° 08′ 27″ E 10 Carouge Tramway Carouge, Marché 46° 11′ 03″ N, 6° 08′ 26″ E 10 Carouge Tramway Bus Carouge, Armes 46° 11′ 12″ N, 6° 08′ 25″ E 10 Carouge Tramway Bus Genève, Blanche 46° 11′ 20″ N, 6° 08′ 35″ E 10 Genève Tramway Genève, Augustins 46° 11′ 31″ N, 6° 08′ 38″ E 10 Genève Tramway Bus Genève, Pont-d'Arve 46° 11′ 42″ N, 6° 08′ 36″ E 10 Genève Tramway Bus Genève, Plainpalais 46° 11′ 52″ N, 6° 08′ 35″ E 10 Genève Tramway Bus Genève, Place de Neuve 46° 12′ 03″ N, 6° 08′ 37″ E 10 Genève Tramway Trolleybus Bus Genève, Bel-Air 46° 12′ 17″ N, 6° 08′ 36″ E 10 Genève Tramway Trolleybus Bus Genève, Coutance 46° 12′ 26″ N, 6° 08′ 32″ E 10 Genève Tramway Trolleybus Bus Genève, gare Cornavin 46° 12′ 35″ N, 6° 08′ 31″ E 10 Genève CFF Léman Express Tramway Trolleybus Bus Genève, Lyon 46° 12′ 34″ N, 6° 08′ 20″ E 10 Genève Tramway Trolleybus Genève, Poterie 46° 12′ 41″ N, 6° 08′ 04″ E 10 Genève Tramway Trolleybus Genève, Servette 46"
13,b57e1f95aeff8828f4bafadad5bf4bf9,['Document']," 6° 08′ 04″ E 10 Genève Tramway Trolleybus Genève, Servette 46° 12′ 48″ N, 6° 07′ 49″ E 10 Genève Tramway Trolleybus Bus Genève, Vieusseux 46° 12′ 55″ N, 6° 07′ 24″ E 10 Genève Tramway Vernier, Bouchet 46° 11′ 29″ N, 6° 08′ 38″ E 10 Vernier Tramway Trolleybus Bus Vernier, Balexert 46° 13′ 06″ N, 6° 06′ 40″ E 10 Vernier Tramway Vernier, Avanchets-Étang 46° 13′ 11″ N, 6° 06′ 21″ E 10 Vernier Tramway Vernier, Blandonnet 46° 13′ 20″ N, 6° 05′ 47″ E 10 Vernier Tramway Bus Meyrin, Jardin-Alpin-Vivarium 46° 13′ 33″ N, 6° 04′ 59″ E 10 Meyrin Tramway Bus Meyrin, Bois-du-Lan 46° 13′ 38″ N, 6° 04′ 42″ E 10 Meyrin Meyrin, village 46° 13′ 45″ N, 6° 04′ 17″ E 10 Meyrin Bus Meyrin, Hôpital de La Tour 46° 13′ 48″ N, 6° 04′ 04″ E 10 Meyrin Bus Meyrin, Maisonnex 46° 13′ 57″ N, 6° 03′ 32″ E 10 Meyrin Bus ■ Meyrin, CERN 46° 14′ 01″ N, 6° 03′ 19″ E 10 Meyrin Bus TAD du Pays de Gex - Ligne « Express » Les stations en gras servent de départ ou de terminus à certaines missions. Exploitation de la ligne Amplitude horaire La ligne fonctionne de 5 h à 1 h du matin du lundi au jeudi, le vendredi son service est prolongé jusqu'à 1 h 40 du matin, le samedi de 5 h à 1 h 40 du matin et les dimanches et jours fériés de 5 h à 1 h du matin environ[9]. Les tramways relient Grand-Lancy, Pal"
34,1507120f63c59a72ee8616b7ec3346a3,['Document']," 5 h à 1 h du matin environ[9]. Les tramways relient Grand-Lancy, Palettes à Meyrin, CERN en 44 minutes en moyenne, grâce à une vitesse commerciale de 16,06 km/h[8]. Les horaires étendus les vendredis et samedis soir se font dans le cadre de la complémentarité avec le service Noctambus et s'accompagnent d'une desserte réduite au trajet entre les stations Meyrin, CERN et Genève, Augustins[10]. En heures de pointe, certains services partent de Meyrin, Gravière et non de Meyrin, CERN[9]. Matériel roulant La ligne est exploitée à l'aide des deux matériels bidirectionnels du réseau, à savoir les Bombardier Cityrunner et les Stadler Tango. L'absence de boucle de retournement aux terminus interdit l'usage de matériel unidirectionnel sur la ligne. Tarification La ligne est située en intégralité dans la zone 10 de la communauté tarifaire Unireso. Trafic En 2021, la ligne a assuré 11,999 millions de voyages, en faisant la quatrième ligne la plus fréquentée du réseau TPG, tous modes confondus[11]. Extension abandonnée Une extension était prévue du côté français de la frontière, en direction de Saint-Genis-Pouilly[12], dont le tronçon suisse avait été approuvé par le Conseil fédéral en 2009[13]. Face aux hésitations du Canton de Genève, qui préfère donner la priorité au projet de bus à haut niveau de service Gex-Ferney-Voltaire[14], le conseil départemental de l'Ain a décidé en 2015 d'engager seul le financement du prolongement de la ligne sur 2,1 km entre le terminus actuel du CERN et"
38,092aeaa5697f1c308f11756be193817d,['Document'],"ment du prolongement de la ligne sur 2,1 km entre le terminus actuel du CERN et la nouvelle station Porte-de-France. Seulement 400 m en Suisse auraient alors été financés par le canton de Genève[15],[16],[17]. Après avoir été plusieurs fois repoussé, la première tranche des travaux a été programmée entre 2019 et 2022[18]. Toutefois, en janvier 2018, des problèmes de financement côté suisse laissent planer le doute sur la date de début des travaux[19]. Des réservations étaient prévues pour deux stations supplémentaires en France : l'une dite Europe, à l'intersection de la route de Meyrin (D 984f) et de la route de l'Europe et l'autre dite Bois de Serves située sur la même route juste avant le giratoire de la Porte-de-France. Une extension jusqu'à la mairie de Saint-Genis était prévue dans un second temps[18]. Le coût de cette extension était estimé, hors taxes, pour sa partie française à 26 millions d'euros (28,6 millions de francs suisses) et pour sa partie suisse à 21,7 millions de francs (17,72 millions d'euros)[18]. Le 21 septembre 2018, le projet est officiellement abandonné au profit d'un bus à haut niveau de service de 2 km de long entre le terminus de la ligne 18 et le centre de Saint-Genis-Pouilly, pour un coût de 15 à 17 millions d'euros contre 43 millions pour le tramway ; le chantier débutera en 2020 pour une mise en service en 2021[20]. Cet abandon fait suite à l'annonce de la Confédération quelques jours avant du non-financement de cette extension[21]. Notes et références Notes Références Voir aussi Sur les"
1702,a59d3d0e09c1f9113476aaa7dd02989e,['Document']," cette extension[21]. Notes et références Notes Références Voir aussi Sur les autres projets Wikimedia : Les coordonnées de cet article : sur OpenStreetMap sur Bing Cartes au format KML sur Mapy en tchèque Les coordonnées de cet article : Articles connexes Liens externes v · mTransports en commun du Grand Genève et environs Train Léman Express ( ) Chemin de fer Nyon-Saint-Cergue-Morez (NStCM) TER Auvergne-Rhône-Alpes Tramway Liste des stations Trolleybus et bus Unireso/Léman Pass Trolleybus de Genève Autobus de Genève (Liste des lignes) Thonon-les-Bains (Star't) Évian-les-Bains (ÉVA'D) Mobi'Vals Transports annemassiens collectifs (TAC) Transports publics de la région nyonnaise (TPN) Société intercommunale des bus de la région annécienne (SIBRA) Cars Région Haute-Savoie Autobus hors Unireso/Léman Pass Arv'i Proxim'iTi Transport lacustre Mouettes genevoises Infrastructures Dépôt du Bachet-de-Pesay Dépôt de La Jonction Dépôt En Chardon Kiosques du tramway CEVA Ligne Aix-les-Bains - Annemasse Ligne La Roche-sur-Foron - Saint-Gervais-les-Bains Ligne Longeray-Léaz - Bouveret (dont ligne du Tonkin, réouverture en projet) Ligne Châtelaine (bif) - frontière - Bellegarde, prolongée par la ligne Lyon - Genève (frontière) côté français Ligne Lausanne – Genève Organisations Transports publics genevois (TPG) Chemins de fer fédéraux suisses (CFF) Société nationale des chemins de fer français (SNCF) Unireso L"
63,5b6d341245b1345ba9d5f7ec4899e0e9,['Document'],) Société nationale des chemins de fer français (SNCF) Unireso Léman Pass Lémanis Fondation des Parkings (gestion des parc relais)
65,34e8cfc4f4a5686041982def87331b41,['Document'],"Extension du tram 15: Maudet répond aux craintes des frontaliers
Genève/France voisine: Extension du tram 15: Maudet répond aux craintes des frontaliers
Le magistrat à la tête des Mobilités a répondu à des interrogations sur le futur de la ligne transfrontalière, à l'arrêt en raison de recours, lors d'une présentation publique mercredi.
Depuis décembre dernier, le tram 15 circule dans la zone industrielle de Plan-les-Ouates (Ziplo). En revanche, son extension en France voisine est bloquée par huit procédures d'opposition.
Si l'Etat de Genève perd en justice face au recours contre l'extension du tram 15, entre Plan-les-Ouates et Saint-Julien-en-Genevois (F) s'en sera fini du projet. L'annonce a eu l'effet d'une douche froide, mercredi, lors de la présentation publique sur l'avenir de la ligne transfrontalière. Pierre Maudet, magistrat en charge des Mobilités et Benoît Pavageau, directeur des transports collectifs à l’Office cantonal des transports ont répondu aux interrogations d'une assistance fournie, à la salle L’Arande de Saint-Julien-en-Genevois, rapporte la «Tribune de Genève».
Alors que des aménagements ont déjà été réalisés dans la cité frontalière, côté Suisse, le chantier est au point mort. Huit procédures d’opposition en cours, portées par 17 riverains et commerçants de Perly craignant des nuisances ou une désertion de la clientèle, font obstacles. Si le Canton obtient gain de cause, les travaux pourraient débuter en 2025/2026. Mais un recours au Tribunal fédéral n'est pas exclu, prévient"
70,Huit procédures d'opposition,"['__Entity__', 'Legal Document']",
87,ce860aaa4486151e598504f9197637a7,['Document']," Mais un recours au Tribunal fédéral n'est pas exclu, prévient Pierre Maudet. Ce qui mènerait à une éventuelle mise en service à l’horizon 2029. En attendant, les autorités locales françaises prévoient des mesures provisoires, telles que la remise en service d’espaces publics actuellement en travaux. Au total, le coût est estimé à environ 600’000 euros. Aucune participation financière genevoise n'est prévue. Car les recours ne sont pas de la responsabilité du gouvernement, a souligné le conseiller d'Etat genevois."
