triplesID,relationID,relation,chunkID,End_entity,start_entity_Labels,end_entity_Labels,start_entity_id,end_entity_id
9,3,MENTIONS,9,"Grand-Lancy, Pontets",Document,__Entity__,9,10
10,3,MENTIONS,9,"Plan-les-Ouates, Trèfle-Blanc",Document,__Entity__,9,11
11,3,MENTIONS,9,"Grand-Lancy, Palettes",Document,__Entity__,9,249
12,3,MENTIONS,9,"Lancy-Bachet, gare",Document,__Entity__,9,722
13,3,MENTIONS,9,ligne,Document,__Entity__,9,1002
14,3,MENTIONS,13,"46° 13′ 11″ N, 6° 06′ 21″ E 10",Document,__Entity__,13,14
15,3,MENTIONS,13,"46° 13′ 33″ N, 6° 04′ 59″ E 10",Document,__Entity__,13,15
16,3,MENTIONS,13,"46° 13′ 57″ N, 6° 03′ 32″ E 10",Document,__Entity__,13,16
17,3,MENTIONS,13,1 h,Document,__Entity__,13,17
18,3,MENTIONS,13,6° 08′ 04″ E 10,Document,__Entity__,13,18
19,3,MENTIONS,13,Meyrin Tramway,Document,__Entity__,13,19
20,3,MENTIONS,13,Genève Tramway,Document,__Entity__,13,20
21,3,MENTIONS,13,Vernier Tramway,Document,__Entity__,13,21
22,3,MENTIONS,13,"46° 11′ 29″ N, 6° 08′ 38″ E 10",Document,__Entity__,13,22
23,3,MENTIONS,13,"46° 12′ 55″ N, 6° 07′ 24″ E 10",Document,__Entity__,13,23
24,3,MENTIONS,13,"46° 13′ 48″ N, 6° 04′ 04″ E 10",Document,__Entity__,13,24
25,3,MENTIONS,13,"46° 13′ 45″ N, 6° 04′ 17″ E 10",Document,__Entity__,13,25
26,3,MENTIONS,13,"46° 14′ 01″ N, 6° 03′ 19″ E 10",Document,__Entity__,13,26
27,3,MENTIONS,13,5 h,Document,__Entity__,13,27
28,3,MENTIONS,13,"46° 13′ 06″ N, 6° 06′ 40″ E 10",Document,__Entity__,13,28
29,3,MENTIONS,13,"46° 13′ 38″ N, 6° 04′ 42″ E 10",Document,__Entity__,13,29
30,3,MENTIONS,13,"46° 13′ 20″ N, 6° 05′ 47″ E 10",Document,__Entity__,13,30
31,3,MENTIONS,13,"46° 12′ 48″ N, 6° 07′ 49″ E 10",Document,__Entity__,13,31
32,3,MENTIONS,13,1 h 40,Document,__Entity__,13,32
33,3,MENTIONS,13,TAD du Pays de Gex - Ligne « Express »,Document,__Entity__,13,33
34,3,MENTIONS,13,Meyrin,Document,__Entity__,13,299
51,3,MENTIONS,34,Saint-Genis-Pouilly,Document,__Entity__,34,35
52,3,MENTIONS,34,Line 10,Document,__Entity__,34,36
53,3,MENTIONS,34,"Genève, Augustins",Document,__Entity__,34,37
54,3,MENTIONS,34,"Meyrin, CERN",Document,__Entity__,34,245
55,3,MENTIONS,34,"Grand-Lancy, Palettes",Document,__Entity__,34,249
56,3,MENTIONS,34,"Meyrin, Gravière",Document,__Entity__,34,264
57,3,MENTIONS,34,Stadler Tango,Document,__Entity__,34,560
58,3,MENTIONS,34,Bombardier Cityrunner,Document,__Entity__,34,571
59,3,MENTIONS,34,TPG,Document,__Entity__,34,619
60,3,MENTIONS,34,Zone 10,Document,__Entity__,34,928
64,3,MENTIONS,38,Saint-Genis-Pouilly,Document,__Entity__,38,35
65,3,MENTIONS,38,"17,72 millions d'euros",Document,__Entity__,38,39
66,3,MENTIONS,38,route de l'Europe,Document,__Entity__,38,40
67,3,MENTIONS,38,mise en service,Document,__Entity__,38,41
68,3,MENTIONS,38,Porte-de-France,Document,__Entity__,38,42
69,3,MENTIONS,38,21 septembre 2018,Document,__Entity__,38,43
70,3,MENTIONS,38,15 à 17 millions d'euros,Document,__Entity__,38,44
71,3,MENTIONS,38,abandon,Document,__Entity__,38,45
72,3,MENTIONS,38,non-financement,Document,__Entity__,38,46
73,3,MENTIONS,38,43 millions,Document,__Entity__,38,47
74,3,MENTIONS,38,giratoire de la Porte-de-France,Document,__Entity__,38,48
