triplesID,relationID,Type,Start_entity,End_entity,start_entity_Labels,end_entity_Labels,start_entity_id,end_entity_id
1,1,CROSSES,pont de Carouge,Arve,__Entity__,__Entity__,1,1242
2,2,LOCATED_IN,écoquartier des Vergers,Meyrin,__Entity__,__Entity__,2,299
3,2,LOCATED_IN,les Ponts de l'Île,Genève,__Entity__,__Entity__,3,236
4,2,LOCATED_IN,Les Avanchets,Vernier,__Entity__,__Entity__,4,316
5,2,LOCATED_IN,place Neuve,Genève,__Entity__,__Entity__,5,236
6,2,LOCATED_IN,avenue des Communes-Réunies,Lancy,__Entity__,__Entity__,6,493
7,2,LOCATED_IN,quartier de Blandonnet,Meyrin,__Entity__,__Entity__,7,299
8,2,LOCATED_IN,rue du Conseil-Général,Genève,__Entity__,__Entity__,8,236
35,4,SERVED_BY,"46° 13′ 11″ N, 6° 06′ 21″ E 10",Vernier Tramway,__Entity__,__Entity__,14,21
36,4,SERVED_BY,"46° 13′ 33″ N, 6° 04′ 59″ E 10",Meyrin Tramway,__Entity__,__Entity__,15,19
37,4,SERVED_BY,"46° 13′ 57″ N, 6° 03′ 32″ E 10",Meyrin,__Entity__,__Entity__,16,299
38,5,HAS_DEPARTURE_TIME,1 h,TAD du Pays de Gex - Ligne « Express »,__Entity__,__Entity__,17,33
39,4,SERVED_BY,6° 08′ 04″ E 10,Genève Tramway,__Entity__,__Entity__,18,20
40,4,SERVED_BY,"46° 11′ 29″ N, 6° 08′ 38″ E 10",Genève Tramway,__Entity__,__Entity__,22,20
41,4,SERVED_BY,"46° 12′ 55″ N, 6° 07′ 24″ E 10",Genève Tramway,__Entity__,__Entity__,23,20
42,4,SERVED_BY,"46° 13′ 48″ N, 6° 04′ 04″ E 10",Meyrin,__Entity__,__Entity__,24,299
43,4,SERVED_BY,"46° 13′ 45″ N, 6° 04′ 17″ E 10",Meyrin,__Entity__,__Entity__,25,299
44,4,SERVED_BY,"46° 14′ 01″ N, 6° 03′ 19″ E 10",Meyrin,__Entity__,__Entity__,26,299
45,5,HAS_DEPARTURE_TIME,5 h,TAD du Pays de Gex - Ligne « Express »,__Entity__,__Entity__,27,33
46,4,SERVED_BY,"46° 13′ 06″ N, 6° 06′ 40″ E 10",Vernier Tramway,__Entity__,__Entity__,28,21
47,4,SERVED_BY,"46° 13′ 38″ N, 6° 04′ 42″ E 10",Meyrin Tramway,__Entity__,__Entity__,29,19
48,4,SERVED_BY,"46° 13′ 20″ N, 6° 05′ 47″ E 10",Vernier Tramway,__Entity__,__Entity__,30,21
49,4,SERVED_BY,"46° 12′ 48″ N, 6° 07′ 49″ E 10",Genève Tramway,__Entity__,__Entity__,31,20
50,5,HAS_DEPARTURE_TIME,1 h 40,TAD du Pays de Gex - Ligne « Express »,__Entity__,__Entity__,32,33
61,2,LOCATED_IN,Line 10,Zone 10,__Entity__,__Entity__,36,928
62,6,OPERATED_BY,Line 10,TPG,__Entity__,__Entity__,36,619
63,7,EXTENSION_PLANNED,Line 10,Saint-Genis-Pouilly,__Entity__,__Entity__,36,35
98,8,SCHEDULED_FOR,mise en service,2021,__Entity__,__Entity__,41,951
99,2,LOCATED_IN,Porte-de-France,France,__Entity__,__Entity__,42,654
100,9,CAUSED_BY,abandon,Confédération,__Entity__,__Entity__,45,1006
101,10,ANNOUNCED_BY,non-financement,Confédération,__Entity__,__Entity__,46,1006
102,8,SCHEDULED_FOR,première tranche des travaux,2022,__Entity__,__Entity__,49,931
103,8,SCHEDULED_FOR,première tranche des travaux,2019,__Entity__,__Entity__,49,952
104,11,LOCATED_AT,terminus actuel du CERN,Porte-de-France,__Entity__,__Entity__,52,42
105,12,LOCATED_ON,Bois de Serves,route de l'Europe,__Entity__,__Entity__,53,40
106,13,LOCATED_BEFORE,Bois de Serves,giratoire de la Porte-de-France,__Entity__,__Entity__,53,48
107,14,REPLACED_BY,projet,bus à haut niveau de service,__Entity__,__Entity__,54,59
108,15,CANCELLED_ON,projet,21 septembre 2018,__Entity__,__Entity__,54,43
109,16,HAS_VALUE,coût,"17,72 millions d'euros",__Entity__,__Entity__,55,39
110,16,HAS_VALUE,coût,15 à 17 millions d'euros,__Entity__,__Entity__,55,44
111,16,HAS_VALUE,coût,43 millions,__Entity__,__Entity__,55,47
