triplesID,Type,Start_entity,End_entity,start_entity_Labels,end_entity_Labels,start_entity_id,start_entity_id
1,CROSSES,pont de Carouge,Arve,__Entity__,__Entity__,1,1242
2,LOCATED_IN,écoquartier des Vergers,Meyrin,__Entity__,__Entity__,2,299
3,LOCATED_IN,les Ponts de l'Île,Genève,__Entity__,__Entity__,3,236
4,LOCATED_IN,Les Avanchets,Vernier,__Entity__,__Entity__,4,316
5,LOCATED_IN,place Neuve,Genève,__Entity__,__Entity__,5,236
6,LOCATED_IN,avenue des Communes-Réunies,Lancy,__Entity__,__Entity__,6,493
7,LOCATED_IN,quartier de Blandonnet,Meyrin,__Entity__,__Entity__,7,299
8,LOCATED_IN,rue du Conseil-Général,Genève,__Entity__,__Entity__,8,236
9,MENTIONS,8d9140d929ab96f64388c929fa1bc823,"Grand-Lancy, Pontets",Document,__Entity__,9,10
10,MENTIONS,8d9140d929ab96f64388c929fa1bc823,"Plan-les-Ouates, Trèfle-Blanc",Document,__Entity__,9,11
11,MENTIONS,8d9140d929ab96f64388c929fa1bc823,"Grand-Lancy, Palettes",Document,__Entity__,9,249
12,MENTIONS,8d9140d929ab96f64388c929fa1bc823,"Lancy-Bachet, gare",Document,__Entity__,9,722
13,MENTIONS,8d9140d929ab96f64388c929fa1bc823,ligne,Document,__Entity__,9,1002
14,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 13′ 11″ N, 6° 06′ 21″ E 10",Document,__Entity__,13,14
15,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 13′ 33″ N, 6° 04′ 59″ E 10",Document,__Entity__,13,15
16,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 13′ 57″ N, 6° 03′ 32″ E 10",Document,__Entity__,13,16
17,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,1 h,Document,__Entity__,13,17
18,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,6° 08′ 04″ E 10,Document,__Entity__,13,18
19,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,Meyrin Tramway,Document,__Entity__,13,19
20,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,Genève Tramway,Document,__Entity__,13,20
21,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,Vernier Tramway,Document,__Entity__,13,21
